"","Raceway_ID","tissue","microsite","Depth","day_collected_est","Distance_from_application","date_coll_flat","Year_collected","Month_collected","Day_collected","d15N","d13C","pN","pC","Site","habitat","Plant_species","Date_installed","Date_mesh_added","Season","mesh_type","Date_15N_added_flat","N15_mg_added","total_N_mg_added","Type_of_label","Year_15N_added","Month_15N_added","Day_15N_added","Experiment","Distance_from_tracer_to_mesh","mass_g","avg_N","Total_N","Day","Nat_ab_15N","R","R0","F","F0","total15N","total15N0","excess","stomped","gwc_depth","VWC","GWC","Day_2","CN","excess_percm","excess_percmday"
"43","39","leaf","plant","plant",0,28,170528,2017,5,28,-2,-15.6,1.3,41.8,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,20.73,1.45,300.585,-4,-2,0.00366266,0.00366266,0.00364929387728741,0.00364929387728741,1.09692300010444,1.09692300010444,0,"No","0_10",NA,0.0118650352243233,0,37.5128205128205,0,NA
"44","39","leaf","plant","plant",3,28,170604,2017,6,4,-0.9,-15.6,1.6,43.7,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,20.73,1.45,300.585,3,-2,0.003666697,0.00366266,0.00365330145053124,0.00364929387728741,1.09812761650793,1.09692300010444,0.00120461640349578,"No","0_10",NA,0.012825080156751,3,31.8645833333333,0.0430220144105637,0.0143406714701879
"45","40","root","plant","plant",10,40,170602,2017,6,2,-0.8,-14.5,0.5,38.9,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,2.33,0.5,11.65,8,-1.2,0.003667064,0.003665596,0.00365366577377296,0.00365220847920745,0.042565206264455,0.0425482287827668,1.69774816882254e-05,"No",NA,NA,NA,8,90.7666666666667,0.000424437042205635,5.30546302757043e-05
"46","40","leaf","plant","plant",0,40,170525,2017,5,25,-1.2,-15.8,1.6,42.6,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,5.79,1.5,86.85,0,-1.2,0.003665596,0.003665596,0.00365220847920745,0.00365220847920745,0.317194306419167,0.317194306419167,0,"No","0_10",NA,0.0136222910216718,0,31.0625,0,NA
"47","40","leaf","plant","plant",3,40,170528,2017,5,28,-0.7,-15.8,1.2,42.2,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,5.79,1.5,86.85,3,-1.2,0.003667431,0.003665596,0.00365403009674825,0.00365220847920745,0.317352513902586,0.317194306419167,0.000158207483418604,"No",NA,NA,NA,3,41.0277777777778,0.00395518708546511,0.00131839569515504
"48","40","leaf","plant","plant",10,40,170602,2017,6,2,-1.3,-16,1.7,45.6,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,5.79,1.5,86.85,8,-1.2,0.003665229,0.003665596,0.00365184415489998,0.00365220847920745,0.317162664853063,0.317194306419167,-3.16415661038572e-05,"No",NA,NA,NA,8,31.2941176470588,-0.000791039152596429,-9.88798940745536e-05
"49","41","root","plant","plant",3,38,170604,2017,6,4,-1.2,-14.2,0.4,39.1,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,0.8,0.4,3.2,3,-1.8,0.003665596,0.003663394,0.00365220847920745,0.00365002252936606,0.0116870671334638,0.0116800720939714,6.99503949246581e-06,"No",NA,NA,NA,3,114.041666666667,0.000184079986643837,6.13599955479457e-05
"50","41","leaf","plant","plant",0,38,170528,2017,5,28,-1.8,-16.1,1.7,41.9,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,8.11,1.65,133.815,-4,-1.8,0.003663394,0.003663394,0.00365002252936606,0.00365002252936606,0.488427764767119,0.488427764767119,0,"No","0_10",NA,0.00945857795172872,0,28.7549019607843,0,NA
"51","41","leaf","plant","plant",3,38,170604,2017,6,4,-0.5,-15.6,1.6,43.4,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,8.11,1.65,133.815,3,-1.8,0.003668165,0.003663394,0.00365475874189952,0.00365002252936606,0.489061541047284,0.488427764767119,0.000633776280165588,"No",NA,NA,NA,3,31.6458333333333,0.0166783231622523,0.0055594410540841
"52","45","root","plant","plant",3,31,170604,2017,6,4,-1.5,-14.5,0.6,42.6,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,2.79,0.6,16.74,3,-1.3,0.003664495,0.003665229,0.00365111550548573,0.00365184415489998,0.061119673561831,0.0611318711530257,-1.21975911946265e-05,"No",NA,NA,NA,3,82.8333333333333,-0.000393470683697629,-0.000131156894565876
