,Raceway_ID,tissue,microsite,Depth,day_collected_est,Distance_from_application,date_coll_flat,Year_collected,Month_collected,Day_collected,d15N,d13C,pN,pC,Site,habitat,Plant_species,Date_installed,Date_mesh_added,Season,mesh_type,Date_15N_added_flat,N15_mg_added,total_N_mg_added,Type_of_label,Year_15N_added,Month_15N_added,Day_15N_added,Experiment,Distance_from_tracer_to_mesh,mass_g,avg_N,Total_N,Day,Nat_ab_15N,R,R0,F,F0,total15N,total15N0,excess,stomped,gwc_depth,VWC,GWC,Day_2,CN,excess_percm,excess_percmday
53,45,leaf,plant,plant,0,31,170528,2017,5,28,-1.3,-15.7,1.3,43.4,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,11.19,1.4,156.66,-4,-1.3,0.003665229,0.003665229,0.003651844,0.003651844,0.572097905,0.572097905,0,No,0_10,NA,0.015882903,0,38.94871795,0,NA
54,45,leaf,plant,plant,3,31,170604,2017,6,4,-0.5,-15.7,1.5,44.1,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,11.19,1.4,156.66,3,-1.3,0.003668165,0.003665229,0.003654759,0.003651844,0.572554505,0.572097905,0.000456599,No,NA,NA,NA,3,34.3,0.014729006,0.004909669
55,50,root,plant,plant,10,36,170627,2017,6,27,-2,-16.5,0.65,19.6,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,glutamate,2017,6,1,Nform,NA,0.54,0.65,3.51,26,-1.575,0.00366266,0.00366422,0.003649294,0.003650842,0.012809022,0.012814456,-5.43E-06,No,NA,NA,NA,26,35.17948718,-0.000150967,-5.81E-06
56,50,leaf,plant,plant,3,36,170604,2017,6,4,3.7,-15.7,1.4,42.6,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,glutamate,2017,6,1,Nform,NA,1.88,1.4,26.32,3,-1.575,0.003683579,0.00366422,0.00367006,0.003650842,0.09659598,0.096090168,0.000505812,No,0_10,NA,0.014196104,3,35.5,0.014050334,0.004683445
57,51,root,plant,plant,10,27,170604,2017,6,4,-1.5,-14,0.5,39.9,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,3.91,0.5,19.55,3,-1.4,0.003664495,0.003664862,0.003651116,0.00365148,0.071379308,0.071386431,-7.12E-06,No,NA,NA,NA,3,93.1,-0.000263798,-8.79E-05
58,51,leaf,plant,plant,0,27,170521,2017,5,21,-1.4,-16,1.5,47.2,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,16.04,1.55,248.62,-11,-1.4,0.003664862,0.003664862,0.00365148,0.00365148,0.907830915,0.907830915,0,No,0_10,NA,0.01480611,0,36.71111111,0,NA
59,51,leaf,plant,plant,3,27,170604,2017,6,4,-0.9,-15.8,1.6,44.3,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,16.04,1.55,248.62,3,-1.4,0.003666697,0.003664862,0.003653301,0.00365148,0.908283807,0.907830915,0.000452891,No,0_10,NA,0.015361891,3,32.30208333,0.016773749,0.00559125
60,54,root,plant,plant,10,39,170602,2017,6,2,-0.9,-14.5,0.5,36.9,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,1.93,0.5,9.65,10,-2.1,0.003666697,0.003662293,0.003653301,0.00364893,0.035254359,0.03521217,4.22E-05,No,NA,NA,NA,10,86.1,0.001081765,0.000108176
61,54,leaf,plant,plant,0,39,170523,2017,5,23,-2.1,-15.5,1.3,41.5,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,28.16,1.3,366.08,0,-2.1,0.003662293,0.003662293,0.00364893,0.00364893,1.33580013,1.33580013,0,No,0_10,NA,0.012281659,0,37.24358974,0,NA
62,54,leaf,plant,plant,3,39,170526,2017,5,26,1.2,-14.5,1.2,85.9,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,28.16,1.3,366.08,3,-2.1,0.003674404,0.003662293,0.003660952,0.00364893,1.340201375,1.33580013,0.004401245,No,NA,NA,NA,3,83.51388889,0.112852437,0.037617479
